#,,Caller,Function,Executable,FD,Path,Bytes
1,0,0x358b,read,securityd,4,,8
2,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
3,0,0x358b,read,securityd,4,,8
4,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
5,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
6,0,0x358b,read,securityd,4,,8
7,0,0x358b,read,securityd,4,,8
8,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
9,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
10,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
11,0,0x358b,read,securityd,4,,8
12,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
13,0,0x358b,read,securityd,4,,8
14,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
15,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
16,0,x_handle_kqueue,read,launchd,56,,65536
17,0,0x358b,read,securityd,4,,8
18,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
19,0,0x358b,read,securityd,4,,8
20,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
21,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
22,0,,read,fseventsd,5,,70183
23,0,,read,mds,6,,102392
24,0,0x358b,read,securityd,4,,8
25,0,0x358b,read,securityd,4,,8
26,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
27,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
28,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
29,0,,read,SFLSharedPrefsT,4,/Users/asampson/.CFUserTextEncoding,23
30,0,,read,SFLSharedPrefsT,3,/System/Library/Frameworks/CoreServices.framework/Frameworks/OSServices.framework/Versions/A/Support/SFLSharedPrefsTool,512
31,0,,read,SFLSharedPrefsT,3,/System/Library/Frameworks/CoreServices.framework/Frameworks/OSServices.framework/Versions/A/Support/SFLSharedPrefsTool,32
32,0,,read,SFLSharedPrefsT,3,/Users/asampson/Library/Preferences/com.apple.recentitems.plist,8192
33,0,,read,SFLSharedPrefsT,3,/Users/asampson/Library/Preferences/com.apple.recentitems.plist,8192
34,0,,read,SFLSharedPrefsT,3,/Users/asampson/Library/Preferences/com.apple.recentitems.plist,8192
35,0,,write,SFLSharedPrefsT,3,/Users/asampson/Library/Preferences/com.apple.recentitems.plist,12886
36,0,,read,fseventsd,5,,69679
37,0,,read,mds,6,,102392
38,0,0x358b,read,securityd,4,,8
39,0,aslevent_log,write,syslogd,10,/var/log/secure.log,240
40,0,0x358b,read,securityd,4,,8
41,0,x_handle_kqueue,read,launchd,46,,65536
42,0,bsd_out_sendmsg,write,syslogd,10,/var/log/secure.log,54
43,0,aslevent_log,write,syslogd,10,/var/log/secure.log,251
44,0,aslevent_handleevent,read,syslogd,10,/var/log/secure.log,11
45,0,aslevent_handleevent,read,syslogd,10,/var/log/secure.log,304
46,0,aslevent_log,write,syslogd,11,/var/log/system.log,120
47,0,aslevent_handleevent,read,syslogd,10,/var/log/secure.log,11
